{'time': '2021-05-31 15:00:54.620706', 'symbol': 'BCH/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 696.97, 'limit': 664.0324999999975, 'confidence': '16/28'}
{'time': '2021-05-31 15:01:04.399242', 'symbol': 'ADA/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 1.6811, 'limit': 1.5564366666666674, 'confidence': '19/28'}
{'time': '2021-05-31 16:00:36.907811', 'symbol': 'ETH/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 2644.04, 'limit': 2412.3838333333333, 'confidence': '18/28'}
{'time': '2021-05-31 23:00:39.489050', 'symbol': 'ETH/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 2693.3, 'limit': 2537.3198333333357, 'confidence': '19/28'}
{'time': '2021-05-31 23:30:38.465830', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 0.8405, 'limit': 0.8089799999999997, 'confidence': '15/26'}
{'time': '2021-06-01 06:00:46.218250', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 36204.34, 'limit': 36824.287666510354, 'confidence': '16/28'}
{'time': '2021-06-01 06:30:41.677177', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 36881.12, 'limit': 36788.423833333385, 'confidence': '20/28'}
{'time': '2021-06-01 09:30:41.448045', 'symbol': 'BCH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 681.79, 'limit': 692.6831978530962, 'confidence': '19/28'}
{'time': '2021-06-01 11:30:40.008994', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.8205, 'limit': 0.8264069160674327, 'confidence': '13/26'}
{'time': '2021-06-01 12:30:41.401030', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2548.42, 'limit': 2601.641677635975, 'confidence': '15/28'}
{'time': '2021-06-01 13:30:35.786715', 'symbol': 'ETH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 2561.83, 'limit': 2617.6791306080686, 'confidence': '11/28'}
{'time': '2021-06-01 21:00:43.143194', 'symbol': 'MANA/USDT', 'interval': '2h', 'trigger': 'SELL', 'price': 0.8343, 'limit': 0.8013566666666654, 'confidence': '14/26'}
{'time': '2021-06-01 21:01:02.534322', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 1.7686, 'limit': 1.7251266666666671, 'confidence': '21/28'}
{'time': '2021-06-01 22:15:33.536085', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 36550, 'limit': 36333.006666666675, 'confidence': '12/28'}
{'time': '2021-06-01 22:45:34.172085', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 2630.61, 'limit': 2586.557999999999, 'confidence': '19/28'}
{'time': '2021-06-01 23:45:37.943260', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 685.6, 'limit': 683.9724999999991, 'confidence': '9/28'}
{'time': '2021-06-02 05:00:47.646442', 'symbol': 'BTC/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 37203.19, 'limit': 37635.48334854566, 'confidence': '10/28'}
{'time': '2021-06-02 05:01:02.015027', 'symbol': 'ETH/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 2697.63, 'limit': 2575.376333333335, 'confidence': '20/28'}
{'time': '2021-06-02 05:45:35.761750', 'symbol': 'XLM/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.41784, 'limit': 0.41580399999999973, 'confidence': '11/28'}
{'time': '2021-06-02 06:15:35.802271', 'symbol': 'XLM/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.41503, 'limit': 0.4156623587571289, 'confidence': '21/28'}
{'time': '2021-06-02 07:00:39.214229', 'symbol': 'BTC/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 37520.08, 'limit': 37635.48334990191, 'confidence': '13/28'}
{'time': '2021-06-02 11:00:44.684171', 'symbol': 'ETH/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 2766.13, 'limit': 2619.132666666667, 'confidence': '20/28'}
{'time': '2021-06-02 13:15:38.983098', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.8649, 'limit': 0.8536466666666664, 'confidence': '15/26'}
{'time': '2021-06-02 14:00:38.428974', 'symbol': 'MANA/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 0.864, 'limit': 0.8325083333333326, 'confidence': '15/26'}
{'time': '2021-06-02 14:30:38.876642', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 37773.55, 'limit': 37563.46983333332, 'confidence': '18/28'}
{'time': '2021-06-02 15:45:37.082469', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 693.91, 'limit': 701.294585621573, 'confidence': '19/28'}
{'time': '2021-06-02 16:15:36.167177', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2707.84, 'limit': 2730.9669057890796, 'confidence': '10/28'}
{'time': '2021-06-02 17:15:37.019425', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 37439.75, 'limit': 37662.421645031194, 'confidence': '13/28'}
{'time': '2021-06-02 18:15:38.380556', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 696, 'limit': 701.0389791144419, 'confidence': '18/28'}
{'time': '2021-06-02 18:30:38.295520', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 0.8474, 'limit': 0.8458200000000006, 'confidence': '15/26'}
{'time': '2021-06-03 01:15:37.666160', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.7871, 'limit': 1.763115, 'confidence': '21/28'}
{'time': '2021-06-03 11:00:41.840791', 'symbol': 'BCH/USDT', 'interval': '6h', 'trigger': 'SELL', 'price': 716.43, 'limit': 696.4661666666674, 'confidence': '13/28'}
{'time': '2021-06-03 13:00:47.267395', 'symbol': 'BCH/USDT', 'interval': '6h', 'trigger': 'SELL', 'price': 709.45, 'limit': 696.4661666666674, 'confidence': '11/28'}
{'time': '2021-06-03 15:00:40.292546', 'symbol': 'BCH/USDT', 'interval': '6h', 'trigger': 'SELL', 'price': 710, 'limit': 696.4661666666674, 'confidence': '11/28'}
